,index, c__Bacteroidia, c__Betaproteobacteria, c__Bacilli, c__Gammaproteobacteria, c__Fusobacteriia, c__Clostridia, c__Actinobacteria, c__Verrucomicrobiae, c__Chloroplast, c__Cytophagia, c__Epsilonproteobacteria, c__Deltaproteobacteria, c__Alphaproteobacteria, c__Erysipelotrichi, c__Sphingobacteriia, c__Flavobacteriia,, c__Synergistia, c__Coriobacteriia, c__Spirochaetes, c__[Saprospirae], c__Deinococci, c__Thermoleophilia, c__Mollicutes, c__[Chloracidobacteria], c__, c__BD1-5, c__Thaumarchaeota, c__Phycisphaerae, c__Acidimicrobiia, c__Anaerolineae, c__Ellin6529, c__[Spartobacteria], c__Planctomycetia, c__[Rhodothermi], c__[Pedosphaerae], c__Nostocophycideae, c__TA18, c__TM7-3
0,L1S105,0.54,0.01,0.0,0.01,0.02,0.3900000000000001,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L1S140,0.56,0.01,0.0,0.03,0.0,0.3900000000000002,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,L1S208,0.6700000000000002,0.0,0.01,0.0,0.0,0.3200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,L1S257,0.66,0.03,0.01,0.0,0.0,0.2900000000000001,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,L1S281,0.5000000000000001,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,L1S57,0.6200000000000001,0.02,0.0,0.0,0.0,0.34000000000000014,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,L1S76,0.53,0.01,0.0,0.01,0.0,0.43000000000000005,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,L1S8,0.7100000000000001,0.0,0.0,0.01,0.0,0.23000000000000004,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,L2S155,0.01,0.03,0.19,0.28,0.03,0.09,0.30000000000000004,0.0,0.02,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,L2S175,0.06999999999999999,0.08,0.29000000000000004,0.060000000000000005,0.02,0.12,0.32000000000000006,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,L2S204,0.04,0.060000000000000005,0.03,0.5900000000000001,0.02,0.07,0.04,0.0,0.03,0.0,0.0,0.0,0.03,0.01,0.02,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,L2S222,0.10999999999999999,0.15000000000000002,0.08999999999999998,0.33000000000000007,0.03,0.02,0.06,0.0,0.06,0.0,0.0,0.0,0.02,0.0,0.06,0.05,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,L2S240,0.09999999999999999,0.35999999999999993,0.14,0.22,0.08,0.05,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,L2S309,0.01,0.03,0.4,0.07,0.03,0.18000000000000005,0.16,0.0,0.04,0.0,0.0,0.0,0.04,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,L2S357,0.02,0.02,0.39,0.13,0.01,0.19000000000000003,0.21,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,L2S382,0.12999999999999998,0.14,0.19999999999999998,0.1,0.1,0.15000000000000002,0.12000000000000001,0.0,0.01,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,L3S242,0.7000000000000002,0.0,0.0,0.04,0.0,0.2,0.0,0.04,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,L3S294,0.01,0.05,0.05,0.38,0.0,0.11,0.30000000000000004,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,L3S313,0.05,0.02,0.33000000000000007,0.12,0.01,0.14,0.32,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,L3S341,0.09,0.03,0.19,0.48,0.02,0.04,0.05,0.0,0.05,0.0,0.0,0.0,0.01,0.0,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,L3S360,0.03,0.08,0.11,0.42000000000000004,0.05,0.03,0.11000000000000001,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,L3S378,0.6800000000000002,0.01,0.01,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,L4S112,0.01,0.07999999999999999,0.48000000000000004,0.09999999999999999,0.01,0.09,0.13,0.0,0.03,0.01,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
