,index, f__Bacteroidaceae, f__Neisseriaceae, f__Streptococcaceae, f__Pasteurellaceae,, f__Fusobacteriaceae, f__Prevotellaceae, f__Pseudomonadaceae, f__Ruminococcaceae, f__Veillonellaceae, f__Corynebacteriaceae, f__Micrococcaceae, f__Lachnospiraceae, f__Comamonadaceae, f__[Tissierellaceae], f__Moraxellaceae, f__Rikenellaceae, f__Verrucomicrobiaceae, f__, f__Leptotrichiaceae, f__Gemellaceae, f__Carnobacteriaceae, f__[Paraprevotellaceae], f__Enterobacteriaceae, f__Cytophagaceae, f__Porphyromonadaceae, f__Burkholderiaceae, f__Propionibacteriaceae, f__Campylobacteraceae, f__Desulfovibrionaceae, f__Lactobacillaceae, f__mitochondria, f__Erysipelotrichaceae, f__Caulobacteraceae, f__Sphingomonadaceae, f__Oxalobacteraceae, f__Actinomycetaceae, f__Sphingobacteriaceae, f__[Weeksellaceae], f__Flavobacteriaceae, f__Aerococcaceae, f__Clostridiaceae, f__Xanthomonadaceae, f__Erythrobacteraceae, f__Bacillaceae, f__Intrasporangiaceae, f__[Odoribacteraceae], f__Methylobacteriaceae, f__Nocardiaceae, f__Rhodobacteraceae, f__Nocardioidaceae, f__Microbacteriaceae, f__Dethiosulfovibrionaceae, f__Planococcaceae, f__Enterococcaceae, f__Rhizobiaceae, f__Cardiobacteriaceae, f__Brucellaceae, f__Peptostreptococcaceae, f__Geodermatophilaceae, f__[Mogibacteriaceae], f__Coriobacteriaceae, f__Spirochaetaceae, f__Methylophilaceae, f__Alcaligenaceae, f__Pseudonocardiaceae, f__[Barnesiellaceae], f__Chitinophagaceae, f__Leuconostocaceae, f__Aeromonadaceae, f__Deinococcaceae, f__Vibrionaceae, f__Gaiellaceae, f__Acetobacteraceae, f__Mycoplasmataceae, f__Alicyclobacillaceae, f__Mycobacteriaceae, f__Bradyrhizobiaceae, f__Rhodospirillaceae, f__Ellin6075, f__Nakamurellaceae, f__Hyphomicrobiaceae, f__Peptococcaceae, f__Williamsiaceae, f__Bifidobacteriaceae, f__Nitrososphaeraceae, f__Kineosporiaceae, f__Succinivibrionaceae, f__[Acidaminobacteraceae], f__Dermabacteraceae, f__S24-7, f__Brevibacteriaceae, f__Rhodocyclaceae, f__Paenibacillaceae, f__Alteromonadaceae, f__Trueperaceae, f__Caldilineaceae, f__Christensenellaceae, f__Turicibacteraceae, f__Desulfomicrobiaceae, f__Trebouxiophyceae, f__[Chthoniobacteraceae], f__Helicobacteraceae, f__Planctomycetaceae, f__Rhodothermaceae, f__Legionellaceae, f__Nostocaceae, f__Bacteriovoracaceae
0,L1S105,0.51,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.1,0.03,0.0,0.0,0.26000000000000006,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,L1S140,0.5,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.20000000000000004,0.03,0.0,0.0,0.15,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,L1S208,0.5700000000000001,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.09000000000000001,0.0,0.0,0.0,0.22000000000000008,0.0,0.0,0.0,0.07,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,L1S257,0.5199999999999999,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.14999999999999997,0.01,0.0,0.0,0.10999999999999999,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,L1S281,0.44000000000000006,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,L1S57,0.56,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.09999999999999999,0.02,0.0,0.0,0.20000000000000007,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,L1S76,0.53,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.25,0.02,0.0,0.0,0.15000000000000002,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,L1S8,0.7100000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,L2S155,0.0,0.01,0.17,0.04,0.03,0.01,0.0,0.01,0.0,0.0,0.30000000000000004,0.0,0.0,0.0,0.09,0.23000000000000004,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,L2S175,0.0,0.05,0.22,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0.29000000000000004,0.02,0.01,0.0,0.07,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
