,0
eb5c2534490ff9a641a56fe76c9552d2,948.0
f8f5f782d8262115518e5af450b15769,472.0
ac97aae67c48f06ed5a97a0ba19b643a,405.0
1d68770bd0b60a2e0fc7aa7cbdba2eae,358.0
ea42019a2627746e1b6f72a041e86777,342.0
d690cb6690a2e355db7192114b09d347,339.0
996c13935b0ddcfc7daeb74e2f50f561,244.0
4fa82afb83df33d1aa8c7f9360352128,214.0
444e043c6855a8a5932a03d05544b1c7,206.0
1a6918c9b8a52d26acf02ea4ee0857dc,184.0
c8ab14bedc8eaafcaa5eacec05576410,182.0
ff7212549686565bc9d236f75accc938,172.0
b14c8cbcdd1989ea5a72fe8c13b73db7,166.0
9a8531684c01968e77607d3ffa0d14a2,164.0
47a4a59d112305f256ad1123d1029465,153.0
01830d5c8d014d62962b7b3b4369f31c,151.0
f494b26f55b9a6e0f0a836ddb490189b,149.0
9902d94d0034b12cf9ab192da7573666,138.0
050d1a248274c50897d7460bc91e9f78,131.0
c4c5b3e921e4e80cbf269e43e7894118,128.0
9c1b842f68e33289aea0618fd5c54e6c,128.0
22c2e5d1d3696cb8fcce097834280b0d,126.0
d1c214d4cbf475c7974901ebd6ea7de8,124.0
dcfbe07f5fb2e2b3431fe9a270173a45,122.0
c7884cc893451c8149ef9fcf89e344bc,122.0
9320285d8d5931204dc11b6532751b4a,118.0
e9e4b850ab59a78c8c9f2aaf0743fdac,113.0
3d8d1fd958a55e099675396d4f720ba2,110.0
21bef5a6a796daaea09414aa21734917,109.0
dba92cbbfcc66f1cb0f4384bee39d01b,108.0
2868d6d7a06d070c8d578e0c163dcebc,106.0
36846310f15408688072ceb885304ad6,105.0
ddd7c96d2cc32afc6228ad1d74d22d06,104.0
cabe1e8685a2ffc2f4af933d4dc73a7d,104.0
06193e95e53fc4c46989d86db3fe34ea,103.0
54a817620a44e1de84734389190d00a5,102.0
00c42a66575bca2c7ac5228b238aedc7,99.0
6aa6a8aba0f5ff071452d493811c4975,98.0
b2ab3a1271139e620990c92f65f84805,94.0
3f269fca0a60ec25fb4a87152bd8b8f2,91.0
4d1d84dd28c39c1e8cd462dd2920b868,84.0
f1ee35157f43a23c1e9c16d7bedf34f6,83.0
2b8edb1460ca9b8a6c7d562a6ecac0f2,83.0
718426609c286fd2f327542af969a66f,83.0
abe25b636868cfb4cff048663d87fbfc,81.0
1874611d82ae6be3c735a70969f31be0,80.0
2d745709e0e8721050c314702563adb1,80.0
67fe55a01855b8d16d02da36d0bdd5d3,78.0
58039d0edcbcc684475b09985031d972,77.0
39fec8d147b2875327c1181ae7f83a05,73.0
dd1361b3d7ed5308567c2ab2227d67d0,68.0
e9378809e861954fa671ee06ad0a9aa0,67.0
132a740b183d01d8d49fedbf7866a6a5,66.0
27e6d9b2cf5be646fc37ac3f286fa8b1,66.0
9051c604796c405e60eb3936eb2eab02,64.0
e4e66bbb8ac25437fdd02a492dea6db7,63.0
ee6f8c63963ae166ef227c0545c31f79,62.0
ec201087e51bc9b874c08c46bc682390,61.0
bf0af0f31d253e7a56831352a34b3eea,61.0
60a6dfcac83c6dd74fd377180a0b54e3,61.0
f59379de0d92a500221c3e2bcb9eefbf,58.0
72a0af6f0ac1ceebe7d3c0a3dd8d6e24,58.0
18612c8a7bcb70370368e82c837cc3c0,56.0
a6292191c1ee87b29a65039b755cfd8c,54.0
8296dd9af33c6ef1f3a3cdfc12da0749,52.0
d28cd393a12c3cf770255b040c1933db,50.0
59d06ab1bd2d3b8c3ce3a891c213dd85,50.0
5f4a2c8b3fb62bba399841446a156e26,49.0
9c34b961f803d05e5af97e526bcadde4,49.0
5960b210be0b3eb41c17972839b6fd5c,47.0
b630fc62cc6a3021e4c94f77461c8971,47.0
5026777920bd561f708a3ce4ee1128a7,46.0
886f112ed7e4a155fdbc446af81d5734,46.0
be69ae57e9701171efc5b94221e8b9a2,45.0
8edec856dd2f720fc800aaa62fa2740a,45.0
ce76be02d4df575ae4e1657cc92db237,45.0
348288a1de3cad23906c3bfcea5b260e,44.0
1a7fda9ec676463ce27bd041e6c2752e,44.0
3e1246be90e68796c0c4340586543775,43.0
9c9898d6c55a16152fd3b97e410c0600,43.0
5162d063616474e21cd80cac877f8936,43.0
23e0ab271f89380757d58addddc08134,43.0
6933a73c7a690f243ebd3f3b0904924d,42.0
535754d44c71c8f9feb7c8aa689b9094,42.0
fa0da0c139ff3301782bb38b09f379e0,42.0
4cad4e45d26edc6f9244cba67f3d0547,41.0
69e4b4400f718970c2b510b7b5bf302b,41.0
9caf7181c8a776e90360460287aff12b,41.0
8ebdd25dd78702e2ace853f6f1a81777,41.0
c53b685f44f26bb63bf899c07b36862b,41.0
0064b6d45004a0a15464d7648e0d410e,40.0
b2ad7de0c3d94bd50a088ae8178c4fe2,39.0
a1f47820e5a41fdceaa39ef8e33bc213,39.0
e3b1bede76be49e48295bd54e5181a12,39.0
12514c59d7f6d692a087f56131dbd2fc,37.0
df5eb36655ee63a53c555b7b61540a5e,37.0
efe825fe15b274b1de83f48582ee9490,36.0
eb7296811750781d3f7e4482809965dc,35.0
948c88f169704a60f2ffbea33bf32574,35.0
f41a413bce40577a8f0ac816afd17377,35.0
9ed058906405241571fe6333f1f091a4,34.0
ed1ee11db5201b10eeeb50710e4a53e6,34.0
2be3dfa0871373aa5523fa0abb51d408,34.0
ce298f85059168f6a3e73b04cbcfd520,31.0
6132d91c0fee0f2bff515c2701322ff1,31.0
cf7d39717f9c25e6cdeaeb288d161780,30.0
1456abf27e37f0d1fb6a51dbb50bae25,30.0
e50a93e7696040865ebde607a8029358,29.0
52900803e7058596b946b323abe84cbc,29.0
8b9f7a3876e2dcd397078d3452d07277,29.0
