	pielou_evenness
L1S105	0.6571606208428221
L1S140	0.6609707371768395
L1S208	0.7081906295626867
L1S257	0.7483387978860885
L1S281	0.7550762423282116
L1S57	0.7036460607167299
L1S76	0.6170314157886103
L1S8	0.6080934537249247
L2S155	0.7644332813608488
L2S175	0.7406594457205128
L2S204	0.6708488586031729
L2S222	0.8956296220367781
L2S240	0.7120922303428212
L2S309	0.7887573966908206
L2S357	0.7797503299923659
L2S382	0.858521753661084
L3S294	0.806065782729204
L3S313	0.8078649492585188
L3S378	0.7275500854294753
L4S112	0.7518210329815851
L4S137	0.7701034174583802
L4S63	0.8166417744026855
L5S104	0.777798377302996
L5S155	0.7167308569718599
L5S174	0.6990300366488579
L5S203	0.7853541189138382
L5S222	0.7043522651661168
L5S240	0.7390768116533658
L6S20	0.5735743371860682
L6S68	0.6731108492508792
L6S93	0.7893601555600567
