	shannon_entropy
L1S105	3.799281938655546
L1S140	3.871954016717387
L1S208	4.369483071125992
L1S257	4.6612666910960865
L1S281	4.56397839879592
L1S57	4.189646778537812
L1S76	3.5343068676036715
L1S8	3.167834489124241
L2S155	5.033764492064414
L2S175	4.831737782496612
L2S204	4.288278846900307
L2S222	6.31891994107065
L2S240	3.815071156146144
L2S309	4.600735142756466
L2S357	4.4230755322593325
L2S382	5.908898780561399
L3S294	4.289824135433924
L3S313	4.462292099356284
L3S378	3.570008672028067
L4S112	5.2283110536317885
L4S137	5.281354601212366
L4S63	6.015646443863622
L5S104	3.6119838088352547
L5S155	3.148109430520652
L5S174	3.3604854873499943
L5S203	3.6915096933483076
L5S222	3.3491157827588984
L5S240	3.2958625024886623
L6S20	3.0525213795769335
L6S68	3.424426433606307
L6S93	4.200917988859724
