	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.6990027198549411	0.6473254759746147	0.6917497733454215	0.7098821396192203	0.31278331822302813	0.3082502266545784	0.4741613780598368	0.9882139619220308	0.9909338168631007	0.9873073436083409	0.9764279238440616	0.99909338168631	0.9791477787851315	0.9845874886672711	0.9954669084315503	1.0	0.9809610154125114	0.7497733454215775	0.9782411604714415	0.9954669084315503	0.9927470534904805	0.9954669084315503	0.9954669084315503	1.0	1.0	1.0	1.0	1.0	1.0	0.9954669084315503
L1S140	0.6990027198549411	0.0	0.35811423390752495	0.44061650045330913	0.4161378059836809	0.7370806890299184	0.7243880326382592	0.6881233000906618	0.9972801450589301	0.9981867633726201	0.9936536718041704	0.9927470534904805	0.9972801450589301	0.9728014505893019	0.9918404351767905	0.99909338168631	0.99909338168631	0.9900271985494107	0.27107887579329104	0.9836808703535811	0.99909338168631	0.9909338168631007	1.0	0.9954669084315503	1.0	1.0	1.0	0.9954669084315503	0.99909338168631	0.9981867633726201	0.9981867633726201
L1S208	0.6473254759746147	0.35811423390752495	0.0	0.2665457842248413	0.28195829555757024	0.7642792384406165	0.7388939256572983	0.8077969174977334	0.99909338168631	0.9981867633726201	0.9936536718041704	0.9936536718041704	0.9954669084315503	0.9637352674524026	0.9918404351767905	0.99909338168631	0.99909338168631	0.9945602901178604	0.38349954669084313	0.9882139619220308	0.99909338168631	0.99909338168631	0.9963735267452403	0.9918404351767905	0.9963735267452403	0.9963735267452403	0.9963735267452403	0.9945602901178604	0.9981867633726201	0.9963735267452403	0.9945602901178604
L1S257	0.6917497733454215	0.44061650045330913	0.2665457842248413	0.0	0.3227561196736174	0.7606527651858568	0.7515865820489573	0.8259292837715322	0.9972801450589301	0.9972801450589301	0.9927470534904805	0.9945602901178604	0.9981867633726201	0.970081595648232	0.9909338168631007	0.9981867633726201	0.9981867633726201	0.9936536718041704	0.4605621033544878	0.9873073436083409	0.9981867633726201	0.9981867633726201	0.99909338168631	0.9945602901178604	0.99909338168631	0.99909338168631	0.99909338168631	0.9945602901178604	0.9981867633726201	0.9972801450589301	0.9972801450589301
L1S281	0.7098821396192203	0.4161378059836809	0.28195829555757024	0.3227561196736174	0.0	0.7597461468721668	0.7398005439709883	0.8676337262012692	0.99909338168631	0.99909338168631	0.9945602901178604	0.9900271985494107	0.99909338168631	0.9637352674524026	0.9927470534904805	1.0	1.0	0.9954669084315503	0.4487760652765186	0.9891205802357208	1.0	1.0	1.0	0.9954669084315503	1.0	1.0	1.0	0.9954669084315503	0.99909338168631	0.9981867633726201	0.9981867633726201
L1S57	0.31278331822302813	0.7370806890299184	0.7642792384406165	0.7606527651858568	0.7597461468721668	0.0	0.25294650951949227	0.40525838621940163	0.9936536718041704	0.9963735267452403	0.9882139619220308	0.9845874886672711	0.99909338168631	0.9791477787851315	0.9845874886672711	1.0	1.0	0.9900271985494107	0.7543064369900272	0.9845874886672711	1.0	1.0	0.9954669084315503	0.9954669084315503	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S76	0.3082502266545784	0.7243880326382592	0.7388939256572983	0.7515865820489573	0.7398005439709883	0.25294650951949227	0.0	0.37805983680870353	0.9945602901178604	0.9963735267452403	0.9882139619220308	0.9809610154125114	0.99909338168631	0.9791477787851315	0.9845874886672711	1.0	1.0	0.9900271985494107	0.7669990933816863	0.9836808703535811	1.0	1.0	0.9954669084315503	0.9954669084315503	1.0	1.0	1.0	1.0	1.0	1.0	1.0
L1S8	0.4741613780598368	0.6881233000906618	0.8077969174977334	0.8259292837715322	0.8676337262012692	0.40525838621940163	0.37805983680870353	0.0	0.9909338168631007	0.9891205802357208	0.9827742520398912	0.9891205802357208	0.9918404351767905	0.9873073436083409	0.9773345421577516	0.9954669084315503	0.9927470534904805	0.9827742520398912	0.7497733454215775	0.9764279238440616	0.9945602901178604	0.9954669084315503	0.9882139619220308	0.9882139619220308	0.9927470534904805	0.9927470534904805	0.9963735267452403	0.9927470534904805	0.9927470534904805	0.9927470534904805	0.9927470534904805
L2S155	0.9882139619220308	0.9972801450589301	0.99909338168631	0.9972801450589301	0.99909338168631	0.9936536718041704	0.9945602901178604	0.9909338168631007	0.0	0.5929283771532184	0.8123300090661831	0.7887579329102448	0.8930190389845875	0.7098821396192203	0.6962828649138713	0.7960108794197642	0.3254759746146872	0.5874886672710788	0.9963735267452403	0.6854034451495921	0.7769718948322756	0.6854034451495921	0.8685403445149592	0.899365367180417	0.9229374433363554	0.8821396192203083	0.9075249320036265	0.9093381686310064	0.9501359927470535	0.8957388939256573	0.9138712601994561
L2S175	0.9909338168631007	0.9981867633726201	0.9981867633726201	0.9972801450589301	0.99909338168631	0.9963735267452403	0.9963735267452403	0.9891205802357208	0.5929283771532184	0.0	0.7987307343608341	0.7706255666364461	0.8458748866727108	0.5512239347234814	0.5494106980961015	0.7479601087941976	0.6781504986400725	0.31278331822302813	0.9972801450589301	0.5358114233907525	0.6246600181323663	0.6854034451495921	0.8495013599274706	0.8476881233000907	0.8812330009066183	0.8014505893019039	0.8812330009066183	0.8658204895738894	0.9102447869446962	0.8540344514959202	0.8803263825929284
L2S204	0.9873073436083409	0.9936536718041704	0.9936536718041704	0.9927470534904805	0.9945602901178604	0.9882139619220308	0.9882139619220308	0.9827742520398912	0.8123300090661831	0.7987307343608341	0.0	0.7452402538531279	0.942883046237534	0.7452402538531279	0.671804170444243	0.8839528558476881	0.8349954669084315	0.8259292837715322	0.9972801450589301	0.7207615593834995	0.8631006346328196	0.7370806890299184	0.915684496826836	0.9601087941976428	0.9601087941976428	0.9474161378059837	0.9537624660018132	0.9528558476881233	0.957388939256573	0.9410698096101541	0.9374433363553943
L2S222	0.9764279238440616	0.9927470534904805	0.9936536718041704	0.9945602901178604	0.9900271985494107	0.9845874886672711	0.9809610154125114	0.9891205802357208	0.7887579329102448	0.7706255666364461	0.7452402538531279	0.0	0.9365367180417045	0.7978241160471442	0.828649138712602	0.8730734360834089	0.8495013599274706	0.8223028105167725	0.9936536718041704	0.7742520398912058	0.8422484134179511	0.7116953762466002	0.9437896645512239	0.9528558476881233	0.9528558476881233	0.9410698096101541	0.9446962828649139	0.9419764279238441	0.9519492293744334	0.9374433363553943	0.9347234814143246
L2S240	0.99909338168631	0.9972801450589301	0.9954669084315503	0.9981867633726201	0.99909338168631	0.99909338168631	0.99909338168631	0.9918404351767905	0.8930190389845875	0.8458748866727108	0.942883046237534	0.9365367180417045	0.0	0.8476881233000907	0.815049864007253	0.8395285584768812	0.9374433363553943	0.8331822302810517	0.9909338168631007	0.7932910244786945	0.7842248413417952	0.8912058023572076	0.4252039891205802	0.45058930190389845	0.5466908431550317	0.43517679057116954	0.45602901178603805	0.15503173164097914	0.3472348141432457	0.22030825022665457	0.4442429737080689
L2S309	0.9791477787851315	0.9728014505893019	0.9637352674524026	0.970081595648232	0.9637352674524026	0.9791477787851315	0.9791477787851315	0.9873073436083409	0.7098821396192203	0.5512239347234814	0.7452402538531279	0.7978241160471442	0.8476881233000907	0.0	0.39981867633726204	0.7243880326382592	0.7533998186763372	0.5194922937443336	0.970988213961922	0.4270172257479601	0.6391659111514053	0.47053490480507704	0.8513145965548504	0.8812330009066183	0.9093381686310064	0.8449682683590208	0.8884859474161378	0.85675430643699	0.899365367180417	0.8195829555757026	0.85766092475068
L2S357	0.9845874886672711	0.9918404351767905	0.9918404351767905	0.9909338168631007	0.9927470534904805	0.9845874886672711	0.9845874886672711	0.9773345421577516	0.6962828649138713	0.5494106980961015	0.671804170444243	0.828649138712602	0.815049864007253	0.39981867633726204	0.0	0.7234814143245694	0.7216681776971895	0.4932003626473255	0.9954669084315503	0.2774252039891206	0.5766092475067996	0.5349048050770625	0.8349954669084315	0.8640072529465095	0.8893925657298277	0.8232094288304623	0.8848594741613781	0.8250226654578422	0.8703535811423391	0.7996373526745241	0.8232094288304623
L2S382	0.9954669084315503	0.99909338168631	0.99909338168631	0.9981867633726201	1.0	1.0	1.0	0.9954669084315503	0.7960108794197642	0.7479601087941976	0.8839528558476881	0.8730734360834089	0.8395285584768812	0.7243880326382592	0.7234814143245694	0.0	0.8540344514959202	0.7597461468721668	0.9972801450589301	0.7026291931097008	0.5131459655485041	0.8014505893019039	0.8504079782411604	0.8594741613780599	0.8893925657298277	0.814143245693563	0.8757932910244787	0.8458748866727108	0.8794197642792384	0.8023572076155938	0.8159564823209429
L3S294	1.0	0.99909338168631	0.99909338168631	0.9981867633726201	1.0	1.0	1.0	0.9927470534904805	0.3254759746146872	0.6781504986400725	0.8349954669084315	0.8495013599274706	0.9374433363553943	0.7533998186763372	0.7216681776971895	0.8540344514959202	0.0	0.629193109700816	0.9972801450589301	0.742520398912058	0.8159564823209429	0.7479601087941976	0.929283771532185	0.9519492293744334	0.9501359927470535	0.9220308250226654	0.9501359927470535	0.9501359927470535	0.9601087941976428	0.9392565729827742	0.9347234814143246
L3S313	0.9809610154125114	0.9900271985494107	0.9945602901178604	0.9936536718041704	0.9954669084315503	0.9900271985494107	0.9900271985494107	0.9827742520398912	0.5874886672710788	0.31278331822302813	0.8259292837715322	0.8223028105167725	0.8331822302810517	0.5194922937443336	0.4932003626473255	0.7597461468721668	0.629193109700816	0.0	0.9972801450589301	0.5022665457842248	0.7017225747960109	0.6300997280145059	0.844061650045331	0.8213961922030825	0.8748866727107888	0.8059836808703535	0.8739800543970988	0.85766092475068	0.9048050770625566	0.8513145965548504	0.8812330009066183
L3S378	0.7497733454215775	0.27107887579329104	0.38349954669084313	0.4605621033544878	0.4487760652765186	0.7543064369900272	0.7669990933816863	0.7497733454215775	0.9963735267452403	0.9972801450589301	0.9972801450589301	0.9936536718041704	0.9909338168631007	0.970988213961922	0.9954669084315503	0.9972801450589301	0.9972801450589301	0.9972801450589301	0.0	0.9972801450589301	0.9972801450589301	0.9963735267452403	0.9972801450589301	0.9927470534904805	0.9972801450589301	0.9972801450589301	0.9972801450589301	0.9927470534904805	0.9963735267452403	0.9954669084315503	0.9954669084315503
L4S112	0.9782411604714415	0.9836808703535811	0.9882139619220308	0.9873073436083409	0.9891205802357208	0.9845874886672711	0.9836808703535811	0.9764279238440616	0.6854034451495921	0.5358114233907525	0.7207615593834995	0.7742520398912058	0.7932910244786945	0.4270172257479601	0.2774252039891206	0.7026291931097008	0.742520398912058	0.5022665457842248	0.9972801450589301	0.0	0.5720761559383499	0.5267452402538532	0.8223028105167725	0.8404351767905711	0.8694469628286491	0.8032638259292838	0.8612873980054397	0.8123300090661831	0.8558476881233001	0.785131459655485	0.8105167724388033
L4S137	0.9954669084315503	0.99909338168631	0.99909338168631	0.9981867633726201	1.0	1.0	1.0	0.9945602901178604	0.7769718948322756	0.6246600181323663	0.8631006346328196	0.8422484134179511	0.7842248413417952	0.6391659111514053	0.5766092475067996	0.5131459655485041	0.8159564823209429	0.7017225747960109	0.9972801450589301	0.5720761559383499	0.0	0.772438803263826	0.8168631006346329	0.8295557570262919	0.8549410698096102	0.7742520398912058	0.8395285584768812	0.7996373526745241	0.8422484134179511	0.7524932003626473	0.7615593834995467
L4S63	0.9927470534904805	0.9909338168631007	0.99909338168631	0.9981867633726201	1.0	1.0	1.0	0.9954669084315503	0.6854034451495921	0.6854034451495921	0.7370806890299184	0.7116953762466002	0.8912058023572076	0.47053490480507704	0.5349048050770625	0.8014505893019039	0.7479601087941976	0.6300997280145059	0.9963735267452403	0.5267452402538532	0.772438803263826	0.0	0.9102447869446962	0.9220308250226654	0.9229374433363554	0.9174977334542158	0.9165911151405258	0.9038984587488668	0.9184043517679057	0.9020852221214869	0.9038984587488668
L5S104	0.9954669084315503	1.0	0.9963735267452403	0.99909338168631	1.0	0.9954669084315503	0.9954669084315503	0.9882139619220308	0.8685403445149592	0.8495013599274706	0.915684496826836	0.9437896645512239	0.4252039891205802	0.8513145965548504	0.8349954669084315	0.8504079782411604	0.929283771532185	0.844061650045331	0.9972801450589301	0.8223028105167725	0.8168631006346329	0.9102447869446962	0.0	0.37533998186763373	0.5185856754306437	0.3744333635539438	0.43245693563009974	0.38168631006346326	0.6373526745240253	0.4605621033544878	0.5820489573889392
L5S155	0.9954669084315503	0.9954669084315503	0.9918404351767905	0.9945602901178604	0.9954669084315503	0.9954669084315503	0.9954669084315503	0.9882139619220308	0.899365367180417	0.8476881233000907	0.9601087941976428	0.9528558476881233	0.45058930190389845	0.8812330009066183	0.8640072529465095	0.8594741613780599	0.9519492293744334	0.8213961922030825	0.9927470534904805	0.8404351767905711	0.8295557570262919	0.9220308250226654	0.37533998186763373	0.0	0.514959202175884	0.23753399818676338	0.34270172257479603	0.42883046237534	0.6754306436990027	0.5512239347234814	0.6962828649138713
