	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S294	L3S313	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L1S105	0.0	0.09436523683628226	0.11889917745379294	0.1315423588091131	0.11850581852648402	0.09499158350918413	0.06866456409727786	0.15940629558671268	0.8000787778944787	0.7913183482269691	0.6868804672290745	0.691718613227394	0.711377760464768	0.7595060895562181	0.7663465048199133	0.6937521073027663	0.8094206065996162	0.7890071875743172	0.09930930179052867	0.7390042192770607	0.702876112756132	0.7944814493858671	0.7445599184782936	0.7259876901177349	0.616982951049837	0.7145318678805321	0.6846180371784718	0.711479331751666	0.6977024906955811	0.7090489108985835	0.5914463084618256
L1S140	0.09436523683628226	0.0	0.09379297516142256	0.1309046991331985	0.14140929898468588	0.139100372379177	0.07330071331066751	0.135500453617453	0.8245254165369724	0.8178906727558998	0.7132297448783376	0.7180825429167039	0.7362927733378429	0.7848747594871169	0.7884420159384601	0.7181336753923341	0.8296773437116182	0.8164075180633058	0.037952422064988584	0.7652806804918717	0.7306427917716403	0.8244187253011093	0.7714571583632233	0.753059917073287	0.642124818165527	0.7406734328409863	0.7110211550564216	0.7378149033986048	0.7232846698856287	0.7357489002276948	0.6198896838575708
L1S208	0.11889917745379294	0.09379297516142256	0.0	0.06140174370369301	0.09420881699164194	0.14821054717636362	0.09054248967182714	0.15987461642361633	0.8333194134223098	0.8318418544065699	0.7197434623427282	0.7286489749279583	0.7505971801833203	0.7984997474005987	0.7955757322090053	0.7326449847430098	0.8395973952007112	0.8317172373381106	0.09570253890170712	0.7756916481652251	0.7457345143974022	0.8388281022358887	0.7840161841473707	0.7635424075088023	0.6552348954248426	0.753126727754727	0.7241401528656423	0.7506795535516478	0.7364338097612394	0.7476152157502642	0.6309476242871989
L1S257	0.1315423588091131	0.1309046991331985	0.06140174370369301	0.0	0.0857344717177214	0.14595917022598465	0.11232080942356981	0.185960721605343	0.8192539880061018	0.8191410531326832	0.7055329631935072	0.7134562070193265	0.737649415307285	0.7838532463313918	0.7825753540625424	0.718338997642269	0.8256933025813267	0.8183687892395262	0.132665635771798	0.7622559608166342	0.7310281302173258	0.8244431424826456	0.7734383165372526	0.7526592821397593	0.6430270762353354	0.7411047169779006	0.7118042145453612	0.7388383799807163	0.7243712048583724	0.7366313013843773	0.6198646864209374
L1S281	0.11850581852648402	0.14140929898468588	0.09420881699164194	0.0857344717177214	0.0	0.0958743951963392	0.12852745763345763	0.21204785490202463	0.7872475149129791	0.7864435924651277	0.6760714588886536	0.6827402974962571	0.7040566061781477	0.7521331807199332	0.7501758257237559	0.6858283141353663	0.7941798509020324	0.7868499463513204	0.14309606015640153	0.7323023018222078	0.6994077229104109	0.7941915283663573	0.740266081439444	0.7193749258414421	0.6088706485287148	0.7072203509860164	0.6784767146675804	0.7052337543778068	0.6898442968943013	0.7031114295961848	0.5871933153314675
L1S57	0.09499158350918413	0.139100372379177	0.14821054717636362	0.14595917022598465	0.0958743951963392	0.0	0.10327414926236443	0.1583900769490334	0.7585408894608485	0.7582889730955598	0.6457825599267863	0.6535309369599576	0.6803888328363449	0.7228503649608249	0.7210287275665468	0.6588387781576736	0.7653018281684061	0.7578587188400232	0.1472771833985333	0.7031532484804651	0.6713123207248939	0.7639842183814816	0.7145861440402543	0.6951259387459151	0.5863357959848039	0.6836692706709224	0.6558252029133433	0.6814399771206524	0.6676282953529385	0.6790300604697063	0.5631309828525909
L1S76	0.06866456409727786	0.07330071331066751	0.09054248967182714	0.11232080942356981	0.12852745763345763	0.10327414926236443	0.0	0.12527236030497718	0.8069961648627151	0.8064989417530019	0.6916261345762403	0.700677416746332	0.7238326810376369	0.7706282580274807	0.7690981822822164	0.7070777593327311	0.8121944075841147	0.8050096888318194	0.0838971953602863	0.74880741006214	0.7176149933200635	0.8116022124067	0.7592380132307727	0.7386989901917299	0.6299555351125935	0.7277828318143176	0.6987451530127496	0.72505998682087	0.7110214121752081	0.7225999518823256	0.6061015599067984
L1S8	0.15940629558671268	0.135500453617453	0.15987461642361633	0.185960721605343	0.21204785490202463	0.1583900769490334	0.12527236030497718	0.0	0.7851288068581095	0.7858283053264394	0.6733827932250447	0.6777558102212164	0.7096083050083644	0.7469032214677452	0.7490784261037221	0.688893938872012	0.7944741621495502	0.7875767151388515	0.14881165505054167	0.7304170488610107	0.7006695414689708	0.7822522741912031	0.7442967775025676	0.7253620086283616	0.6152389130464948	0.7139573720446456	0.6843235712031897	0.7106561460455731	0.696504573318325	0.708355831302972	0.5931885260857314
L2S155	0.8000787778944787	0.8245254165369724	0.8333194134223098	0.8192539880061018	0.7872475149129791	0.7585408894608485	0.8069961648627151	0.7851288068581095	0.0	0.2198400700675182	0.31488537345639134	0.3308368606963722	0.3820327954673921	0.27531761855690007	0.23121394356779465	0.42406349091812384	0.12615238253676175	0.22371288398535805	0.8328252423992213	0.2611746879175043	0.32500364510375407	0.2448307315144192	0.4518079429028434	0.42296881012736687	0.6732793129161199	0.43318644445288756	0.4847949784194978	0.40576482859268953	0.4004307810543422	0.39976228556036114	0.6506699159385387
L2S175	0.7913183482269691	0.8178906727558998	0.8318418544065699	0.8191410531326832	0.7864435924651277	0.7582889730955598	0.8064989417530019	0.7858283053264394	0.2198400700675182	0.0	0.4126947527889526	0.40268542801472906	0.3698431578636432	0.2106553343075771	0.20364968241536355	0.3754343993635563	0.23959404946684773	0.09032307274711598	0.830795558354178	0.19478633175743598	0.25503127995565117	0.2698428963654567	0.41501669632226773	0.3534516596954349	0.6369712857356051	0.367503362651341	0.4710787119401229	0.40253390496941654	0.41660113601124354	0.38232245934303166	0.6456365769160507
L2S204	0.6868804672290745	0.7132297448783376	0.7197434623427282	0.7055329631935072	0.6760714588886536	0.6457825599267863	0.6916261345762403	0.6733827932250447	0.31488537345639134	0.4126947527889526	0.0	0.18851795378094932	0.340391205749777	0.32694199401742374	0.3359951826903091	0.403503970882744	0.3336000260332526	0.4375561301950128	0.7217256441846196	0.3207332158059884	0.32220888726215996	0.3398666112825275	0.40444309607229617	0.3652129802501665	0.6043387757535881	0.3793066502528687	0.42005585488388014	0.34661538430929456	0.3312044725767199	0.3505845847262282	0.5690683645934376
L2S222	0.691718613227394	0.7180825429167039	0.7286489749279583	0.7134562070193265	0.6827402974962571	0.6535309369599576	0.700677416746332	0.6777558102212164	0.3308368606963722	0.40268542801472906	0.18851795378094932	0.0	0.311359465618376	0.3158192072602654	0.3442443073072	0.3592432498048421	0.3513739830887549	0.43606189688142294	0.7275664839796102	0.31122939642581415	0.2822309541147385	0.30498545832324353	0.37245829223612315	0.3445240787896877	0.5625849766332964	0.34583437561856656	0.373387909049271	0.3217919507987243	0.33192220964219676	0.3196217341768494	0.5378653242939457
L2S240	0.711377760464768	0.7362927733378429	0.7505971801833203	0.737649415307285	0.7040566061781477	0.6803888328363449	0.7238326810376369	0.7096083050083644	0.3820327954673921	0.3698431578636432	0.340391205749777	0.311359465618376	0.0	0.35502784093385586	0.3286475737098442	0.29693318721061723	0.4136431181608879	0.3889761620270747	0.7486320007359725	0.31627504602221695	0.24560559131429296	0.40353894014121944	0.2387060837558389	0.09889276099433957	0.4347324914029659	0.11997440202642638	0.19219131921013313	0.06634388404671186	0.11715471072027572	0.03972179817455821	0.40257688424042554
L2S309	0.7595060895562181	0.7848747594871169	0.7984997474005987	0.7838532463313918	0.7521331807199332	0.7228503649608249	0.7706282580274807	0.7469032214677452	0.27531761855690007	0.2106553343075771	0.32694199401742374	0.3158192072602654	0.35502784093385586	0.0	0.13321880332243727	0.3516565405718903	0.3067350431948361	0.2007698595812269	0.7961999058478388	0.1073559318127867	0.243061301229511	0.1671305728856515	0.3759904219071701	0.35019317701238006	0.6212895948400518	0.36113628887702126	0.4532418698479306	0.385893609954555	0.4001738631514196	0.3671246829157504	0.631835894329916
L2S357	0.7663465048199133	0.7884420159384601	0.7955757322090053	0.7825753540625424	0.7501758257237559	0.7210287275665468	0.7690981822822164	0.7490784261037221	0.23121394356779465	0.20364968241536355	0.3359951826903091	0.3442443073072	0.3286475737098442	0.13321880332243727	0.0	0.3473778737494761	0.25310770162327856	0.1562233321857257	0.7968484728043252	0.0854763277809235	0.21333887506603022	0.21588404335445308	0.3528714344753886	0.31666390900978136	0.6046328930605573	0.3312892959093461	0.4261170014062902	0.3583881407083064	0.3671161284652901	0.3407611676520673	0.605319661975829
L2S382	0.6937521073027663	0.7181336753923341	0.7326449847430098	0.718338997642269	0.6858283141353663	0.6588387781576736	0.7070777593327311	0.688893938872012	0.42406349091812384	0.3754343993635563	0.403503970882744	0.3592432498048421	0.29693318721061723	0.3516565405718903	0.3473778737494761	0.0	0.4638270133609929	0.3977286141426225	0.7306370822798585	0.33007071700893	0.21781423789998922	0.409397542519194	0.2712969506544907	0.34036060393717377	0.3983288881412881	0.2520713991750846	0.23212663270018294	0.3220301068598428	0.362406813327317	0.29442583684867124	0.38706397867518366
